company_id,company_name,country,homepage,code,code6_re,ticker_candidates,ticker_used,market_cap,market_cap_currency,market_cap_source,market_cap_fetched_at_utc,market_cap_error
1,AK홀딩스,KR,,6840.0,006840,006840.KS|006840.KQ,006840.KS,103450771456,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
2,BGF리테일,KR,,282330.0,282330,282330.KS|282330.KQ,282330.KS,2133464449024,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
3,BNK금융그룹,KR,,138930,138930,138930.KS|138930.KQ,138930.KS,6067916898304,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
4,DL이앤씨,KR,,375500.0,375500,375500.KS|375500.KQ,375500.KS,2067537592320,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
5,E1,KR,,017940,017940,017940.KS|017940.KQ,017940.KS,599567564800,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
6,GS,KR,,78930.0,078930,078930.KS|078930.KQ,078930.KS,6788209442816,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
7,GS건설,KR,,6360.0,006360,006360.KS|006360.KQ,006360.KS,1719000104960,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
8,GS리테일,KR,,7070.0,007070,007070.KS|007070.KQ,007070.KS,1733986091008,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
9,HDC현대산업개발,KR,,294870.0,294870,294870.KS|294870.KQ,294870.KS,1402302758912,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
10,HD한국조선해양,KR,,9540.0,009540,009540.KS|009540.KQ,009540.KS,27437276594176,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
11,HD현대건설기계,KR,,267270,267270,267270.KS|267270.KQ,267270.KS,5905324703744,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
12,HD현대마린솔루션,KR,,443060.0,443060,443060.KS|443060.KQ,443060.KS,7477866790912,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
13,HD현대미포,KR,,010620,010620,010620.KS|010620.KQ,,,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,market_cap_not_found
15,HD현대에너지솔루션,KR,,322000.0,322000,322000.KS|322000.KQ,322000.KS,976640016384,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
16,HD현대인프라코어,KR,,042670,042670,042670.KS|042670.KQ,042670.KS,2606147043328,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
17,HD현대일렉트릭,KR,,267260.0,267260,267260.KS|267260.KQ,267260.KS,33797150081024,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
18,HD현대중공업,KR,,329180.0,329180,329180.KS|329180.KQ,329180.KS,56679060209664,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
19,HL디앤아이한라,KR,,014790,014790,014790.KS|014790.KQ,014790.KS,121904693248,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
20,HL만도,KR,,204320.0,204320,204320.KS|204320.KQ,204320.KS,2704730226688,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
21,HL홀딩스,KR,,60980.0,060980,060980.KS|060980.KQ,060980.KS,408727289856,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
22,IBK기업은행,KR,,024110,024110,024110.KS|024110.KQ,024110.KS,18619893284864,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
23,JB금융그룹,KR,,175330,175330,175330.KS|175330.KQ,175330.KS,5535136481280,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
24,KB금융그룹,KR,,105560,105560,105560.KS|105560.KQ,105560.KS,54397757292544,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
25,KT&G,KR,,033780,033780,033780.KS|033780.KQ,033780.KS,17609625960448,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
26,LG,KR,,3550.0,003550,003550.KS|003550.KQ,003550.KS,14109592518656,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
27,LG생활건강,KR,,51900.0,051900,051900.KS|051900.KQ,051900.KS,4507375763456,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
28,LG에너지솔루션,KR,,373220.0,373220,373220.KS|373220.KQ,373220.KS,91260001976320,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
