Domain,Table_Name,Column_Order,Column_Name,Data_Type,Nullable,Key_Type,Description
Master,companies,1,company_id,serial,N,PK,기업 식별자
Master,,2,company_name_kr,VARCHAR(200),Y,,기업 한글명
Master,,3,company_name_en,VARCHAR(200),N,,기업 영문명
Master,,4,company_name_jp,VARCHAR(200),Y,,기업 일본어명
Master,,5,stock_code,VARCHAR(50),Y,,종목코드 또는 티커
Master,,6,country_code,CHAR(2),Y,,국가 코드
Master,,7,market_code,VARCHAR(50),Y,,시장 코드
Master,,8,sector_code,VARCHAR(50),Y,,섹터 코드
Master,,9,industry_code,VARCHAR(50),Y,,산업 코드
Master,,10,status,VARCHAR(20),N,,"현재 회사 상태(active, inactive, split, merged)"
Master,,11,fiscal_year_end_month,SMALLINT,Y,,결산월
Master,,12,reg_date,TIMESTAMP,N,,레코드 등록 일시
Master,,13,registrar,VARCHAR(100),N,,등록 주체
Master,,14,update_date,TIMESTAMP,Y,,최종 수정 일시
Master,,15,updater,VARCHAR(100),Y,,최종 수정 주체
Master,,16,note,TEXT,Y,,추가 메모
Master,company_status_history,1,company_status_history_id,serial,N,PK,회사 상태 이력 식별자
Master,,2,company_id,BIGINT,N,FK,대상 회사
Master,,3,status,VARCHAR(20),N,,해당 시점 회사 상태
Master,,4,event_type,VARCHAR(100),Y,,상태 변경 상세 사건 유형
Master,,5,effective_from,DATE,N,,상태 효력 시작일
Master,,6,effective_to,DATE,Y,,상태 효력 종료일
Master,,7,related_company_id,BIGINT,Y,FK,합병/분할 등 관련 회사
Master,,8,reason,TEXT,Y,,상태 변경 사유
Master,,9,reg_date,TIMESTAMP,N,,레코드 등록 일시
Master,,10,registrar,VARCHAR(100),N,,등록 주체
Master,,11,update_date,TIMESTAMP,Y,,최종 수정 일시
Master,,12,updater,VARCHAR(100),Y,,최종 수정 주체
Master,,13,note,TEXT,Y,,추가 메모
Master,reporting_periods,1,period_id,BIGINT,N,PK,평가 기간 식별자
Master,,2,fiscal_year,INTEGER,N,,회계연도
Master,,3,period_label,VARCHAR(100),Y,,표시 라벨(FY2025 등)
Master,,4,period_start,DATE,Y,,기간 시작일
Master,,5,period_end,DATE,Y,,기간 종료일
Master,,6,assessment_date,DATE,Y,,평가 기준일
Master,,7,currency_code,CHAR(3),Y,,기준 통화
Master,,8,reg_date,TIMESTAMP,N,,레코드 등록 일시
Master,,9,registrar,VARCHAR(100),N,,등록 주체
Master,,10,update_date,TIMESTAMP,Y,,최종 수정 일시
Master,,11,updater,VARCHAR(100),Y,,최종 수정 주체
Master,,12,note,TEXT,Y,,추가 메모
Master,reporting_entities,1,entity_id,BIGINT,N,PK,보고 단위 엔티티 식별자
Master,,2,company_id,BIGINT,N,FK,평가 대상 회사
Master,,3,parent_entity_id,BIGINT,Y,FK,상위 엔티티
Master,,4,entity_type,VARCHAR(50),N,,"엔티티 유형(company, subsidiary, facility, business_unit, region, reporting_group)"
Master,,5,entity_name_kr,VARCHAR(200),N,,엔티티 한글명
Master,,6,entity_name_en,VARCHAR(200),Y,,엔티티 영문명
Master,,7,country_code,CHAR(2),Y,,국가 코드
Master,,8,legal_entity_flag,BOOLEAN,Y,,법인 여부
Master,,9,source_origin,VARCHAR(30),N,,"엔티티 출처(master, report, manual)"
